review_id,order_id,customer_id,product_id,review_date,rating,review_sentiment,verified_purchase
REV100000,ORD1000002,CUST120793,PROD10470,2024-12-30,4,Positive,True
REV100001,ORD1000005,CUST123408,PROD10085,2025-02-04,4,Positive,True
REV100002,ORD1000005,CUST123408,PROD10233,2025-01-27,5,Positive,True
REV100003,ORD1000006,CUST117355,PROD10176,2025-06-11,4,Positive,True
REV100004,ORD1000006,CUST117355,PROD10210,2025-06-06,3,Neutral,True
REV100005,ORD1000008,CUST107870,PROD10220,2023-08-09,2,Negative,True
REV100006,ORD1000011,CUST119962,PROD10125,2023-08-31,2,Negative,True
REV100007,ORD1000012,CUST116537,PROD10503,2024-06-10,5,Positive,True
REV100008,ORD1000013,CUST122069,PROD10226,2023-10-27,4,Positive,True
REV100009,ORD1000013,CUST122069,PROD10403,2023-10-29,4,Positive,False
REV100010,ORD1000013,CUST122069,PROD10039,2023-10-20,4,Positive,False
REV100011,ORD1000015,CUST109992,PROD10236,2025-02-01,3,Neutral,True
REV100012,ORD1000016,CUST107644,PROD10030,2023-12-07,5,Positive,True
REV100013,ORD1000016,CUST107644,PROD10141,2023-12-08,4,Positive,True
REV100014,ORD1000017,CUST107627,PROD10322,2023-04-28,3,Neutral,True
REV100015,ORD1000018,CUST104284,PROD10101,2024-11-11,4,Positive,True
REV100016,ORD1000019,CUST122124,PROD10451,2024-01-23,2,Negative,True
REV100017,ORD1000019,CUST122124,PROD10043,2024-01-23,2,Negative,True
REV100018,ORD1000021,CUST124269,PROD10268,2023-12-03,4,Positive,True
REV100019,ORD1000021,CUST124269,PROD10379,2023-11-30,5,Positive,True
REV100020,ORD1000022,CUST124473,PROD10392,2024-12-15,2,Negative,True
REV100021,ORD1000023,CUST119088,PROD10157,2025-11-14,3,Neutral,True
REV100022,ORD1000026,CUST109769,PROD10231,2024-03-30,3,Neutral,True
REV100023,ORD1000027,CUST101569,PROD10541,2025-07-14,3,Neutral,True
REV100024,ORD1000028,CUST101962,PROD10503,2023-07-10,5,Positive,True
REV100025,ORD1000028,CUST101962,PROD10412,2023-07-03,5,Positive,True
REV100026,ORD1000028,CUST101962,PROD10171,2023-06-19,3,Neutral,True
REV100027,ORD1000031,CUST124462,PROD10341,2024-04-30,5,Positive,True
REV100028,ORD1000034,CUST119789,PROD10193,2024-08-09,5,Positive,True
REV100029,ORD1000036,CUST120092,PROD10115,2023-12-23,3,Neutral,True
REV100030,ORD1000037,CUST105338,PROD10023,2025-11-12,4,Positive,True
REV100031,ORD1000038,CUST123567,PROD10441,2024-08-21,5,Positive,True
