order_item_id,order_id,product_id,quantity,unit_price,discount_percentage,item_revenue,item_cost,profit
OI10000000,ORD1000000,PROD10347,4,150.0,6.5,561.0,515.92,45.08
OI10000001,ORD1000000,PROD10510,1,1150.0,5.0,1092.5,752.18,340.32
OI10000002,ORD1000000,PROD10305,2,960.0,8.0,1766.4,1217.66,548.74
OI10000003,ORD1000000,PROD10092,4,920.0,5.0,3496.0,3049.52,446.48
OI10000004,ORD1000000,PROD10417,3,2640.0,5.0,7524.0,6847.65,676.35
OI10000005,ORD1000001,PROD10092,5,920.0,15.0,3910.0,3811.9,98.1
OI10000006,ORD1000001,PROD10114,2,500.0,15.0,850.0,764.82,85.18
OI10000007,ORD1000002,PROD10470,2,590.0,30.0,826.0,712.38,113.62
OI10000008,ORD1000003,PROD10133,2,12300.0,5.0,23370.0,18476.88,4893.12
OI10000009,ORD1000003,PROD10417,1,2640.0,5.0,2508.0,2282.55,225.45
OI10000010,ORD1000004,PROD10549,3,860.0,30.0,1806.0,1875.0,-69.0
OI10000011,ORD1000004,PROD10224,2,1200.0,31.5,1644.0,1599.86,44.14
OI10000012,ORD1000005,PROD10085,2,870.0,8.0,1600.8,1292.08,308.72
OI10000013,ORD1000005,PROD10233,1,3440.0,8.0,3164.8,2676.46,488.34
OI10000014,ORD1000005,PROD10403,3,2030.0,5.0,5785.5,3578.4,2207.1
OI10000015,ORD1000006,PROD10176,2,7740.0,3.0,15015.6,13783.38,1232.22
OI10000016,ORD1000006,PROD10210,1,610.0,3.0,591.7,430.38,161.32
OI10000017,ORD1000007,PROD10411,2,23190.0,30.0,32466.0,35784.04,-3318.04
OI10000018,ORD1000007,PROD10367,2,1140.0,30.0,1596.0,1328.66,267.34
OI10000019,ORD1000008,PROD10220,2,1570.0,0.0,3140.0,2022.28,1117.72
OI10000020,ORD1000008,PROD10527,2,16480.0,3.0,31971.2,26621.66,5349.54
OI10000021,ORD1000009,PROD10073,2,1360.0,23.0,2094.4,1953.58,140.82
OI10000022,ORD1000010,PROD10501,2,45990.0,3.0,89220.6,83983.26,5237.34
OI10000023,ORD1000010,PROD10403,1,2030.0,0.0,2030.0,1192.8,837.2
OI10000024,ORD1000010,PROD10503,2,1150.0,0.0,2300.0,1415.8,884.2
OI10000025,ORD1000010,PROD10269,2,180.0,0.0,360.0,240.92,119.08
OI10000026,ORD1000010,PROD10112,3,1240.0,3.0,3608.4,2966.13,642.27
OI10000027,ORD1000011,PROD10125,2,380.0,11.5,672.6,427.5,245.1
OI10000028,ORD1000011,PROD10269,2,180.0,10.0,324.0,240.92,83.08
OI10000029,ORD1000012,PROD10503,2,1150.0,6.5,2150.5,1415.8,734.7
OI10000030,ORD1000012,PROD10072,4,15460.0,5.0,58748.0,56407.48,2340.52
OI10000031,ORD1000012,PROD10118,1,910.0,5.0,864.5,601.23,263.27
OI10000032,ORD1000013,PROD10226,1,290.0,0.0,290.0,186.09,103.91
OI10000033,ORD1000013,PROD10403,1,2030.0,3.0,1969.1,1192.8,776.3
OI10000034,ORD1000013,PROD10039,5,6680.0,0.0,33400.0,25881.0,7519.0
OI10000035,ORD1000014,PROD10101,2,780.0,15.0,1326.0,1119.32,206.68
OI10000036,ORD1000015,PROD10203,3,12420.0,1.5,36701.1,32112.57,4588.53
OI10000037,ORD1000015,PROD10051,4,4690.0,1.5,18478.6,10492.32,7986.28
OI10000038,ORD1000015,PROD10236,1,7460.0,0.0,7460.0,6152.68,1307.32
OI10000039,ORD1000016,PROD10030,4,3330.0,0.0,13320.0,10938.08,2381.92
OI10000040,ORD1000016,PROD10320,2,510.0,0.0,1020.0,718.16,301.84
OI10000041,ORD1000016,PROD10141,4,930.0,0.0,3720.0,2251.44,1468.56
OI10000042,ORD1000017,PROD10322,3,140.0,8.0,386.4,301.2,85.2
OI10000043,ORD1000017,PROD10417,3,2640.0,5.0,7524.0,6847.65,676.35
OI10000044,ORD1000018,PROD10304,2,2940.0,21.5,4615.8,3851.14,764.66
OI10000045,ORD1000018,PROD10101,4,780.0,21.5,2449.2,2238.64,210.56
OI10000046,ORD1000018,PROD10101,3,780.0,21.5,1836.9,1678.98,157.92
OI10000047,ORD1000019,PROD10322,1,140.0,20.0,112.0,100.4,11.6
OI10000048,ORD1000019,PROD10077,1,1300.0,20.0,1040.0,825.69,214.31
OI10000049,ORD1000019,PROD10451,1,1990.0,23.0,1532.3,1094.37,437.93
OI10000050,ORD1000019,PROD10043,4,4720.0,20.0,15104.0,17312.28,-2208.28
OI10000051,ORD1000020,PROD10403,3,2030.0,5.0,5785.5,3578.4,2207.1
OI10000052,ORD1000021,PROD10488,3,1990.0,20.0,4776.0,3578.58,1197.42
OI10000053,ORD1000021,PROD10268,1,1170.0,23.0,900.9,847.03,53.87
OI10000054,ORD1000021,PROD10379,3,50.0,20.0,120.0,102.36,17.64
OI10000055,ORD1000022,PROD10392,3,8430.0,3.0,24531.3,17520.06,7011.24
OI10000056,ORD1000023,PROD10157,3,1880.0,15.0,4794.0,3722.19,1071.81
OI10000057,ORD1000024,PROD10122,1,8720.0,13.0,7586.4,6346.99,1239.41
OI10000058,ORD1000025,PROD10221,1,740.0,33.0,495.8,497.69,-1.89
OI10000059,ORD1000025,PROD10236,2,7460.0,33.0,9996.4,12305.36,-2308.96
OI10000060,ORD1000025,PROD10225,2,220.0,33.0,294.8,281.96,12.84
OI10000061,ORD1000026,PROD10203,2,12420.0,20.0,19872.0,21408.38,-1536.38
OI10000062,ORD1000026,PROD10231,3,5470.0,20.0,13128.0,9699.06,3428.94
OI10000063,ORD1000027,PROD10541,1,150.0,0.0,150.0,117.78,32.22
OI10000064,ORD1000027,PROD10322,2,140.0,3.0,271.6,200.8,70.8
OI10000065,ORD1000027,PROD10112,1,1240.0,0.0,1240.0,988.71,251.29
OI10000066,ORD1000028,PROD10503,2,1150.0,1.5,2265.5,1415.8,849.7
OI10000067,ORD1000028,PROD10412,1,11560.0,0.0,11560.0,8986.6,2573.4
OI10000068,ORD1000028,PROD10171,5,1160.0,1.5,5713.0,3428.35,2284.65
OI10000069,ORD1000029,PROD10051,2,4690.0,10.0,8442.0,5246.16,3195.84
OI10000070,ORD1000029,PROD10522,3,330.0,11.5,876.15,815.79,60.36
OI10000071,ORD1000030,PROD10535,2,890.0,26.5,1308.3,1305.42,2.88
OI10000072,ORD1000030,PROD10517,3,17290.0,25.0,38902.5,47421.9,-8519.4
OI10000073,ORD1000030,PROD10548,2,700.0,25.0,1050.0,863.92,186.08
OI10000074,ORD1000031,PROD10341,1,1210.0,10.0,1089.0,719.53,369.47
OI10000075,ORD1000031,PROD10506,6,420.0,13.0,2192.4,1634.94,557.46
OI10000076,ORD1000031,PROD10416,1,920.0,10.0,828.0,675.98,152.02
OI10000077,ORD1000032,PROD10422,3,590.0,0.0,1770.0,1359.84,410.16
OI10000078,ORD1000033,PROD10205,2,150.0,16.5,250.5,225.1,25.4
OI10000079,ORD1000033,PROD10268,3,1170.0,15.0,2983.5,2541.09,442.41
OI10000080,ORD1000033,PROD10328,2,9150.0,16.5,15280.5,13652.76,1627.74
OI10000081,ORD1000034,PROD10193,2,650.0,21.5,1020.5,831.94,188.56
OI10000082,ORD1000034,PROD10408,4,940.0,23.0,2895.2,3317.48,-422.28
OI10000083,ORD1000034,PROD10230,4,100.0,20.0,320.0,347.32,-27.32
OI10000084,ORD1000035,PROD10024,5,190.0,18.0,779.0,577.35,201.65
OI10000085,ORD1000035,PROD10185,3,550.0,15.0,1402.5,995.07,407.43
OI10000086,ORD1000035,PROD10392,2,8430.0,15.0,14331.0,11680.04,2650.96
OI10000087,ORD1000035,PROD10549,3,860.0,18.0,2115.6,1875.0,240.6
OI10000088,ORD1000036,PROD10115,2,1410.0,0.0,2820.0,1792.0,1028.0
OI10000089,ORD1000036,PROD10499,3,310.0,3.0,902.1,653.13,248.97
OI10000090,ORD1000036,PROD10101,4,780.0,3.0,3026.4,2238.64,787.76
OI10000091,ORD1000036,PROD10203,2,12420.0,1.5,24467.4,21408.38,3059.02
OI10000092,ORD1000036,PROD10417,1,2640.0,0.0,2640.0,2282.55,357.45
OI10000093,ORD1000037,PROD10023,2,890.0,0.0,1780.0,1182.3,597.7
OI10000094,ORD1000038,PROD10258,1,1500.0,0.0,1500.0,986.76,513.24
OI10000095,ORD1000038,PROD10152,2,4110.0,0.0,8220.0,7507.52,712.48
OI10000096,ORD1000038,PROD10441,3,29570.0,0.0,88710.0,64166.67,24543.33
OI10000097,ORD1000039,PROD10147,5,2290.0,13.0,9961.5,6698.35,3263.15
OI10000098,ORD1000039,PROD10544,3,2090.0,10.0,5643.0,4915.71,727.29
OI10000099,ORD1000039,PROD10122,1,8720.0,10.0,7848.0,6346.99,1501.01
OI10000100,ORD1000040,PROD10484,3,4060.0,0.0,12180.0,10325.49,1854.51
OI10000101,ORD1000040,PROD10085,2,870.0,0.0,1740.0,1292.08,447.92
OI10000102,ORD1000040,PROD10255,1,570.0,0.0,570.0,375.87,194.13
OI10000103,ORD1000041,PROD10246,1,66050.0,25.0,49537.5,56667.83,-7130.33
OI10000104,ORD1000041,PROD10187,3,130.0,28.0,280.8,261.63,19.17
OI10000105,ORD1000041,PROD10057,2,5660.0,26.5,8320.2,8007.52,312.68
OI10000106,ORD1000042,PROD10181,3,1600.0,8.0,4416.0,3463.38,952.62
OI10000107,ORD1000043,PROD10246,3,66050.0,15.0,168427.5,170003.49,-1575.99
OI10000108,ORD1000043,PROD10437,3,190.0,15.0,484.5,461.22,23.28
OI10000109,ORD1000044,PROD10469,2,250.0,16.5,417.5,389.0,28.5
OI10000110,ORD1000044,PROD10510,4,1150.0,18.0,3772.0,3008.72,763.28
OI10000111,ORD1000044,PROD10417,2,2640.0,16.5,4408.8,4565.1,-156.3
OI10000112,ORD1000045,PROD10367,2,1140.0,0.0,2280.0,1328.66,951.34
OI10000113,ORD1000045,PROD10210,1,610.0,3.0,591.7,430.38,161.32
OI10000114,ORD1000046,PROD10361,2,4320.0,26.5,6350.4,7343.36,-992.96
OI10000115,ORD1000046,PROD10031,2,3150.0,25.0,4725.0,3888.98,836.02
OI10000116,ORD1000046,PROD10508,3,610.0,28.0,1317.6,1197.24,120.36
OI10000117,ORD1000047,PROD10304,4,2940.0,15.0,9996.0,7702.28,2293.72
OI10000118,ORD1000047,PROD10198,1,380.0,15.0,323.0,327.78,-4.78
OI10000119,ORD1000048,PROD10510,2,1150.0,21.5,1805.5,1504.36,301.14
