return_id,order_id,customer_id,product_id,return_date,return_reason,refund_amount,return_status
RET100000,ORD1000009,CUST117396,PROD10073,2024-05-28,Changed mind,2094.4,Refund Completed
RET100001,ORD1000019,CUST122124,PROD10077,2023-12-30,Product damaged,1040.0,Refund Completed
RET100002,ORD1000019,CUST122124,PROD10451,2024-01-06,Wrong product,0.0,Pending
RET100003,ORD1000019,CUST122124,PROD10043,2024-01-05,Quality issue,15104.0,Refund Completed
RET100004,ORD1000028,CUST101962,PROD10171,2023-06-19,Changed mind,0.0,Pending
RET100005,ORD1000046,CUST119669,PROD10361,2025-10-14,Late delivery,6350.4,Refund Completed
RET100006,ORD1000071,CUST109415,PROD10349,2025-02-13,Size issue,15304.5,Approved
RET100007,ORD1000106,CUST101234,PROD10525,2025-04-20,Late delivery,2240.0,Refund Completed
RET100008,ORD1000109,CUST112876,PROD10112,2023-06-08,Size issue,3472.0,Approved
RET100009,ORD1000112,CUST121783,PROD10355,2025-12-07,Changed mind,11760.0,Refund Completed
RET100010,ORD1000112,CUST121783,PROD10004,2025-11-29,Product damaged,740.0,Refund Completed
RET100011,ORD1000133,CUST114971,PROD10231,2023-09-07,Product damaged,4211.9,Refund Completed
RET100012,ORD1000152,CUST123327,PROD10135,2025-11-17,Wrong product,4800.0,Refund Completed
RET100013,ORD1000154,CUST114795,PROD10017,2025-04-05,Late delivery,471.0,Refund Completed
RET100014,ORD1000154,CUST114795,PROD10169,2025-04-03,Product damaged,518.1,Refund Completed
RET100015,ORD1000158,CUST108150,PROD10343,2023-11-30,Changed mind,736.0,Refund Completed
RET100016,ORD1000159,CUST116847,PROD10521,2025-04-05,Size issue,10625.0,Refund Completed
RET100017,ORD1000166,CUST111605,PROD10385,2025-11-10,Changed mind,798.0,Refund Completed
RET100018,ORD1000194,CUST122811,PROD10440,2023-12-03,Wrong product,249.9,Refund Completed
RET100019,ORD1000224,CUST122988,PROD10131,2024-09-13,Product not as expected,3320.0,Refund Completed
RET100020,ORD1000232,CUST104657,PROD10367,2025-10-02,Product damaged,3368.7,Refund Completed
RET100021,ORD1000238,CUST119031,PROD10367,2024-12-28,Quality issue,3026.7,Refund Completed
RET100022,ORD1000279,CUST109613,PROD10147,2023-07-17,Product damaged,2061.0,Refund Completed
RET100023,ORD1000279,CUST109613,PROD10488,2023-07-20,Late delivery,0.0,Rejected
RET100024,ORD1000300,CUST114577,PROD10262,2024-11-09,Late delivery,2385.0,Refund Completed
RET100025,ORD1000317,CUST109280,PROD10281,2024-12-05,Product not as expected,11760.0,Refund Completed
RET100026,ORD1000320,CUST103637,PROD10083,2023-03-10,Size issue,1300.0,Refund Completed
RET100027,ORD1000333,CUST123112,PROD10322,2025-12-13,Late delivery,187.6,Refund Completed
RET100028,ORD1000333,CUST123112,PROD10341,2025-12-12,Product damaged,3242.8,Approved
RET100029,ORD1000347,CUST109302,PROD10436,2023-05-13,Size issue,1376.0,Refund Completed
RET100030,ORD1000370,CUST102414,PROD10173,2024-11-05,Changed mind,0.0,Pending
RET100031,ORD1000370,CUST102414,PROD10346,2024-11-09,Quality issue,810.0,Approved
RET100032,ORD1000373,CUST115691,PROD10152,2023-09-12,Quality issue,0.0,Pending
RET100033,ORD1000378,CUST112223,PROD10152,2025-04-14,Size issue,16440.0,Refund Completed
RET100034,ORD1000386,CUST115600,PROD10246,2025-01-18,Size issue,62747.5,Refund Completed
