shipment_id,order_id,warehouse_city,delivery_city,shipping_method,dispatch_date,expected_delivery_date,actual_delivery_date,delivery_days,delivery_status,delayed_flag
SHIP1000000,ORD1000001,Chennai,Thiruvananthapuram,Economy/Surface,2023-02-11,2023-02-19,2023-02-17,6.0,Delivered,0
SHIP1000001,ORD1000002,Mumbai,Nagpur,Economy/Surface,2024-12-15,2024-12-23,2024-12-26,11.0,Delivered,1
SHIP1000002,ORD1000005,Chennai,Coimbatore,Standard,2025-01-09,2025-01-13,2025-01-12,3.0,Delivered,0
SHIP1000003,ORD1000006,Delhi-NCR (Gurugram),Noida,Same-Day,2025-05-26,2025-05-26,2025-05-27,1.0,Delivered,1
SHIP1000004,ORD1000007,Chennai,Thiruvananthapuram,Express,2025-10-04,2025-10-06,,,Cancelled in Transit,0
SHIP1000005,ORD1000008,Delhi-NCR (Gurugram),Faridabad,Standard,2023-07-15,2023-07-19,2023-07-21,6.0,Delivered,1
SHIP1000006,ORD1000011,Ahmedabad,Jodhpur,Express,2023-08-23,2023-08-25,2023-08-30,7.0,Delivered,1
SHIP1000007,ORD1000012,Mumbai,Nagpur,Next-Day,2024-06-08,2024-06-10,2024-06-10,2.0,Delivered,0
SHIP1000008,ORD1000013,Mumbai,Pune,Standard,2023-10-13,2023-10-17,2023-10-16,3.0,Delivered,0
SHIP1000009,ORD1000014,Hyderabad,Vijayawada,Express,2023-07-22,2023-07-24,2023-07-23,1.0,Delivered,0
SHIP1000010,ORD1000015,Delhi-NCR (Gurugram),Kanpur,Express,2025-01-03,2025-01-05,2025-01-06,3.0,Delivered,1
SHIP1000011,ORD1000016,Mumbai,Nagpur,Economy/Surface,2023-11-13,2023-11-21,2023-11-19,6.0,Delivered,0
SHIP1000012,ORD1000017,Chennai,Coimbatore,Next-Day,2023-04-24,2023-04-26,2023-04-26,2.0,Delivered,0
SHIP1000013,ORD1000018,Kolkata,Kolkata,Same-Day,2024-10-13,2024-10-13,2024-10-13,0.0,Delivered,0
SHIP1000014,ORD1000019,Chennai,Coimbatore,Next-Day,2023-12-28,2023-12-30,2023-12-29,1.0,Delivered then Returned,0
SHIP1000015,ORD1000020,Mumbai,Nagpur,Same-Day,2023-09-23,2023-09-23,2023-09-27,4.0,Delivered,1
SHIP1000016,ORD1000021,Bengaluru,Bengaluru,Economy/Surface,2023-11-11,2023-11-19,2023-11-19,8.0,Delivered,0
SHIP1000017,ORD1000022,Ahmedabad,Ahmedabad,Standard,2024-11-24,2024-11-28,2024-11-29,5.0,Delivered,1
SHIP1000018,ORD1000023,Mumbai,Mumbai,Express,2025-10-29,2025-10-31,2025-10-31,2.0,Delivered,0
SHIP1000019,ORD1000024,Chennai,Chennai,Express,2024-04-24,2024-04-26,2024-04-25,1.0,Delivered,0
SHIP1000020,ORD1000025,Delhi-NCR (Gurugram),New Delhi,Economy/Surface,2023-08-14,2023-08-22,2023-08-20,6.0,Delivered,0
SHIP1000021,ORD1000026,Bengaluru,Bengaluru,Standard,2024-03-18,2024-03-22,2024-03-24,6.0,Delivered,1
SHIP1000022,ORD1000027,Chennai,Coimbatore,Next-Day,2025-07-10,2025-07-12,2025-07-13,3.0,Delivered then Returned,1
SHIP1000023,ORD1000028,Kolkata,Patna,Economy/Surface,2023-06-15,2023-06-23,2023-06-21,6.0,Delivered,0
SHIP1000024,ORD1000029,Delhi-NCR (Gurugram),Lucknow,Standard,2023-05-03,2023-05-07,2023-05-10,7.0,Delivered,1
SHIP1000025,ORD1000030,Kolkata,Howrah,Standard,2024-08-24,2024-08-28,2024-08-31,7.0,Delivered,1
SHIP1000026,ORD1000031,Mumbai,Nagpur,Express,2024-04-21,2024-04-23,2024-04-22,1.0,Delivered,0
SHIP1000027,ORD1000032,Hyderabad,Hyderabad,Economy/Surface,2023-05-07,2023-05-15,2023-05-14,7.0,Delivered,0
SHIP1000028,ORD1000033,Ahmedabad,Vadodara,Express,2023-04-14,2023-04-16,,,Cancelled in Transit,0
SHIP1000029,ORD1000034,Hyderabad,Hyderabad,Next-Day,2024-07-14,2024-07-16,2024-07-16,2.0,Delivered,0
SHIP1000030,ORD1000036,Delhi-NCR (Gurugram),Amritsar,Express,2023-12-19,2023-12-21,2023-12-22,3.0,Delivered,1
SHIP1000031,ORD1000037,Delhi-NCR (Gurugram),Faridabad,Standard,2025-11-04,2025-11-08,2025-11-09,5.0,Delivered,1
SHIP1000032,ORD1000038,Delhi-NCR (Gurugram),Gurugram,Express,2024-08-11,2024-08-13,2024-08-13,2.0,Delivered,0
SHIP1000033,ORD1000039,Delhi-NCR (Gurugram),Noida,Next-Day,2025-03-13,2025-03-15,2025-03-17,4.0,Delivered,1
SHIP1000034,ORD1000040,Delhi-NCR (Gurugram),Noida,Next-Day,2025-09-22,2025-09-24,2025-09-23,1.0,Delivered,0
SHIP1000035,ORD1000041,Chennai,Kochi,Next-Day,2024-03-20,2024-03-22,2024-03-23,3.0,Delivered,1
SHIP1000036,ORD1000042,Ahmedabad,Vadodara,Standard,2025-10-23,2025-10-27,2025-10-27,4.0,Delivered,0
SHIP1000037,ORD1000043,Bengaluru,Bengaluru,Next-Day,2024-10-27,2024-10-29,2024-10-28,1.0,Delivered,0
SHIP1000038,ORD1000045,Kolkata,Howrah,Express,2024-07-17,2024-07-19,2024-07-18,1.0,Delivered,0
SHIP1000039,ORD1000046,Delhi-NCR (Gurugram),Ludhiana,Standard,2025-10-12,2025-10-16,2025-10-16,4.0,Delivered then Returned,0
SHIP1000040,ORD1000047,Bengaluru,Bengaluru,Same-Day,2023-11-23,2023-11-23,2023-11-23,0.0,Delivered,0
SHIP1000041,ORD1000048,Delhi-NCR (Gurugram),Amritsar,Next-Day,2025-07-18,2025-07-20,2025-07-20,2.0,Delivered,0
SHIP1000042,ORD1000049,Ahmedabad,Jodhpur,Standard,2025-12-11,2025-12-15,2025-12-16,5.0,Delivered,1
SHIP1000043,ORD1000050,Delhi-NCR (Gurugram),Ludhiana,Standard,2025-11-03,2025-11-07,2025-11-06,3.0,Delivered then Returned,0
SHIP1000044,ORD1000051,Chennai,Kochi,Standard,2023-08-22,2023-08-26,2023-08-27,5.0,Delivered,1
SHIP1000045,ORD1000052,Ahmedabad,Jaipur,Standard,2025-04-22,2025-04-26,2025-04-25,3.0,Delivered,0
SHIP1000046,ORD1000053,Delhi-NCR (Gurugram),Ludhiana,Standard,2023-07-27,2023-07-31,2023-07-31,4.0,Delivered,0
SHIP1000047,ORD1000055,Delhi-NCR (Gurugram),Noida,Standard,2024-11-03,2024-11-07,2024-11-09,6.0,Delivered,1
SHIP1000048,ORD1000058,Mumbai,Indore,Standard,2025-06-26,2025-06-30,2025-07-01,5.0,Delivered,1
SHIP1000049,ORD1000059,Bengaluru,Bengaluru,Express,2023-08-23,2023-08-25,2023-08-26,3.0,Delivered,1
SHIP1000050,ORD1000062,Ahmedabad,Ahmedabad,Standard,2025-11-30,2025-12-04,2025-12-06,6.0,Delivered,1
SHIP1000051,ORD1000063,Delhi-NCR (Gurugram),Lucknow,Standard,2025-10-15,2025-10-19,2025-10-21,6.0,Delivered,1
SHIP1000052,ORD1000064,Delhi-NCR (Gurugram),Faridabad,Next-Day,2024-03-02,2024-03-04,2024-03-04,2.0,Delivered then Returned,0
